Id,Label
1,passaro
2,cavalo
3,gato
4,veado
5,aviao
6,navio
7,passaro
8,navio
9,cavalo
10,caminhao
11,aviao
12,cavalo
13,automovel
14,caminhao
15,cachorro
16,navio
17,cachorro
18,passaro
19,cavalo
20,passaro
21,cachorro
22,gato
23,aviao
24,caminhao
25,passaro
26,sapo
27,cavalo
28,sapo
29,automovel
30,caminhao
31,veado
32,automovel
33,veado
34,cachorro
35,passaro
36,cachorro
37,navio
38,veado
39,navio
40,sapo
41,cavalo
42,automovel
43,veado
44,navio
45,navio
46,caminhao
47,gato
48,caminhao
49,gato
50,caminhao
51,navio
52,caminhao
53,navio
54,sapo
55,automovel
56,cachorro
57,navio
58,aviao
59,aviao
60,cachorro
61,caminhao
62,gato
63,cavalo
64,gato
65,passaro
66,automovel
67,gato
68,caminhao
69,cachorro
70,passaro
71,gato
72,navio
73,caminhao
74,veado
75,automovel
76,sapo
77,caminhao
78,navio
79,cachorro
80,passaro
81,passaro
82,passaro
83,navio
84,cachorro
85,aviao
86,aviao
87,veado
88,automovel
89,automovel
90,veado
91,veado
92,cavalo
93,automovel
94,caminhao
95,aviao
96,caminhao
97,gato
98,navio
99,automovel
100,veado
101,sapo
102,cachorro
103,navio
104,cavalo
105,sapo
106,cavalo
107,passaro
108,passaro
109,caminhao
110,automovel
111,cachorro
112,veado
113,veado
114,caminhao
115,gato
116,cachorro
117,cachorro
118,cachorro
119,veado
120,navio
121,navio
122,caminhao
123,caminhao
124,passaro
125,automovel
126,automovel
127,cachorro
128,caminhao
129,sapo
130,veado
131,aviao
132,sapo
133,cachorro
134,cavalo
135,sapo
136,veado
137,sapo
138,aviao
139,passaro
140,automovel
141,automovel
142,aviao
143,cavalo
144,veado
145,cavalo
146,passaro
147,gato
148,veado
149,passaro
150,navio
151,passaro
152,cavalo
153,passaro
154,cachorro
155,navio
156,passaro
157,caminhao
158,gato
159,caminhao
160,passaro
161,cavalo
162,cavalo
163,cavalo
164,gato
165,cavalo
166,passaro
167,veado
168,cavalo
169,navio
170,caminhao
171,aviao
172,gato
173,automovel
174,passaro
175,cavalo
176,cachorro
177,aviao
178,gato
179,passaro
180,sapo
181,navio
182,automovel
183,cavalo
184,aviao
185,navio
186,passaro
187,sapo
188,gato
189,cavalo
190,sapo
191,veado
192,passaro
193,gato
194,navio
195,aviao
196,veado
197,sapo
198,cavalo
199,automovel
200,aviao
201,cavalo
202,veado
203,automovel
204,sapo
205,caminhao
206,navio
207,cachorro
208,passaro
209,veado
210,cachorro
211,gato
212,cavalo
213,cavalo
214,aviao
215,veado
216,gato
217,veado
218,sapo
219,caminhao
220,cavalo
221,automovel
222,veado
223,veado
224,cavalo
225,caminhao
226,navio
227,aviao
228,navio
229,veado
230,sapo
231,gato
232,navio
233,aviao
234,aviao
235,sapo
236,automovel
237,veado
238,veado
239,aviao
240,sapo
241,navio
242,automovel
243,cavalo
244,veado
245,passaro
246,cavalo
247,cachorro
248,caminhao
249,veado
250,cavalo
251,caminhao
252,aviao
253,navio
254,automovel
255,aviao
256,aviao
257,passaro
258,passaro
259,gato
260,veado
261,aviao
262,cavalo
263,gato
264,gato
265,navio
266,automovel
267,cavalo
268,veado
269,cachorro
270,automovel
271,caminhao
272,passaro
273,gato
274,cavalo
275,sapo
276,passaro
277,cachorro
278,navio
279,navio
280,passaro
281,navio
282,automovel
283,sapo
284,cavalo
285,cavalo
286,sapo
287,sapo
288,veado
289,gato
290,navio
291,cachorro
292,cavalo
293,automovel
294,passaro
295,cachorro
296,sapo
297,navio
298,cavalo
299,veado
300,sapo
301,navio
302,cavalo
303,navio
304,navio
305,caminhao
306,passaro
307,caminhao
308,caminhao
309,caminhao
310,gato
311,passaro
312,navio
313,caminhao
314,cavalo
315,caminhao
316,aviao
317,aviao
318,passaro
319,navio
320,cavalo
321,passaro
322,aviao
323,veado
324,veado
325,automovel
326,veado
327,caminhao
328,navio
329,automovel
330,veado
331,passaro
332,cachorro
333,automovel
334,passaro
335,automovel
336,passaro
337,cavalo
338,cachorro
339,sapo
340,passaro
341,cachorro
342,veado
343,veado
344,cavalo
345,passaro
346,cachorro
347,gato
348,veado
349,caminhao
350,aviao
351,automovel
352,passaro
353,cavalo
